pair,strategy,n_trades,wr_pct,total_pnl_pct,avg_pnl_pct,total_pnl_abs,avg_pnl_abs,max_dd_abs,consec_wins,consec_losses,total_fees,avg_dur_h,max_dur_h,min_dur_h
BTC/USDT,ADXMomentum,2,0.0,-0.448,-0.224,-14.8297,-7.4148,14.8297,0,2,13.2116,9.04,9.78,8.31
BTC/USDT,ASDTSRockwellTrading,18,5.56,-4.0038,-0.2224,-129.312,-7.184,129.312,1,13,115.9881,0.84,2.5,0.09
BTC/USDT,AdxSmas,7,0.0,-1.5678,-0.224,-51.5885,-7.3698,51.5885,0,7,45.9778,2.38,4.45,1.2
BTC/USDT,AverageStrategy,11,9.09,-1.7754,-0.1614,-57.8206,-5.2564,66.8133,1,10,71.384,2.26,5.75,0.08
BTC/USDT,AwesomeMacd,4,25.0,-0.8991,-0.2248,-29.4724,-7.3681,29.4724,1,2,26.213,3.63,9.01,0.09
BTC/USDT,Bandtastic,11,36.36,-0.7135,-0.0649,-23.6976,-2.1543,40.8085,2,4,72.4845,2.57,9.67,0.58
BTC/USDT,BbandRsi,3,66.67,-0.8155,-0.2718,-27.2852,-9.0951,39.2911,1,1,19.8704,10.7,14.33,7.02
BTC/USDT,BinHV27,3,66.67,-0.0569,-0.019,-1.8694,-0.6231,5.9617,2,1,19.8514,3.21,5.25,1.45
BTC/USDT,CMCWinner,5,100.0,0.0915,0.0183,3.0214,0.6043,0,5,0,33.0083,0.8,1.17,0.67
BTC/USDT,CofiBitStrategy,6,0.0,-1.5496,-0.2583,-50.9835,-8.4972,50.9835,0,6,39.4383,0.75,2.78,0.25
BTC/USDT,EMASkipPump,5,0.0,-0.9495,-0.1899,-31.3307,-6.2661,31.3307,0,5,32.9186,4.06,9.59,0.6
BTC/USDT,FOttStrategy,2,100.0,5.0367,2.5183,168.4649,84.2325,0,2,0,13.547,23.57,33.39,13.75
BTC/USDT,FSupertrendStrategy,9,0.0,-3.1196,-0.3466,-101.7692,-11.3077,101.7692,0,9,58.6976,1.48,3.34,0.5
BTC/USDT,HourBasedStrategy,3,100.0,3.494,1.1647,115.4344,38.4781,0,3,0,20.011,31.35,32.77,30.62
BTC/USDT,InformativeSample,6,100.0,5.9629,0.9938,201.4291,33.5715,0,6,0,40.594,15.76,37.14,1.0
BTC/USDT,MACDStrategy,3,100.0,3.147,1.049,106.0119,35.3373,0,3,0,20.315,16.4,26.93,3.1
BTC/USDT,MultiMa,3,100.0,6.1219,2.0406,204.3049,68.1016,0,3,0,20.1422,9.12,11.75,6.95
BTC/USDT,MultiRSI,7,42.86,-1.116,-0.1594,-37.1705,-5.3101,51.4003,2,3,46.3529,2.91,8.33,0.77
BTC/USDT,Quickie,2,100.0,2.038,1.019,67.6473,33.8237,0,2,0,13.3457,21.02,21.51,20.53
BTC/USDT,ReinforcedAverageStrategy,9,0.0,-1.9947,-0.2216,-65.0724,-7.2303,65.0724,0,9,58.7089,1.73,5.67,0.08
BTC/USDT,ReinforcedQuickie,4,50.0,-0.2044,-0.0511,-7.2712,-1.8178,44.7745,2,1,26.5802,11.7,21.0,4.84
BTC/USDT,ReinforcedSmoothScalp,1,100.0,1.352,1.352,44.6579,44.6579,0,1,0,6.651,8.02,8.02,8.02
BTC/USDT,Scalp,3,0.0,-0.3889,-0.1296,-12.8299,-4.2766,12.8299,0,3,19.7755,0.23,0.25,0.17
BTC/USDT,Simple,5,100.0,5.1411,1.0282,173.1751,34.635,0,5,0,33.8629,18.92,46.16,0.48
BTC/USDT,SmoothOperator,3,66.67,-0.2446,-0.0815,-8.2164,-2.7388,30.9965,1,1,19.9053,10.78,14.25,6.52
BTC/USDT,SmoothScalp,2,50.0,0.2527,0.1264,8.3487,4.1743,0.1832,1,1,13.2578,3.4,4.54,2.26
BTC/USDT,Strategy001,3,100.0,3.1379,1.046,105.3096,35.1032,0,3,0,20.24,22.13,34.1,1.27
BTC/USDT,Strategy001_custom_exit,5,100.0,1.1786,0.2357,39.1613,7.8323,0,5,0,33.254,10.4,26.68,1.17
BTC/USDT,Strategy003,1,100.0,0.0034,0.0034,0.1112,0.1112,0,1,0,6.6105,23.34,23.34,23.34
BTC/USDT,Strategy005,1,100.0,2.0167,2.0167,66.6098,66.6098,0,1,0,6.6726,8.94,8.94,8.94
BTC/USDT,Supertrend,3,33.33,-1.0177,-0.3392,-33.1362,-11.0454,39.3927,1,2,19.5557,6.56,14.5,1.92
BTC/USDT,SwingHighToSky,2,100.0,0.1314,0.0657,4.3737,2.1869,0,2,0,13.3219,17.87,21.47,14.28
BTC/USDT,TDSequentialStrategy,4,25.0,0.1625,0.0406,5.1286,1.2821,18.5782,1,3,26.316,5.12,6.7,3.33
BTC/USDT,TechnicalExampleStrategy,14,7.14,-2.288,-0.1634,-74.8715,-5.348,74.8715,1,8,91.5921,0.6,3.13,0.09
BTC/USDT,TrendFollowingStrategy,1,100.0,5.2402,5.2402,173.0881,173.0881,0,1,0,6.7795,92.02,92.02,92.02
BTC/USDT,hlhb,5,40.0,-1.1632,-0.2326,-39.1068,-7.8214,42.3078,1,2,33.4303,4.17,17.17,0.1
BTC/USDT,sample_strategy,2,100.0,2.2203,1.1102,74.0008,37.0004,0,2,0,13.401,22.89,24.27,21.51
BTC/USDT:USDT,FReinforcedStrategy,1,0.0,-0.2543,-0.2543,-8.3815,-8.3815,8.3815,0,1,1.3202,2.34,2.34,2.34
ETH/USDT,ADXMomentum,6,33.33,0.1219,0.0203,3.7136,0.6189,44.0098,1,2,39.6123,4.96,8.49,1.43
ETH/USDT,ASDTSRockwellTrading,19,10.53,-4.1716,-0.2196,-134.8798,-7.0989,134.8798,1,10,122.4981,0.76,1.86,0.17
ETH/USDT,AdxSmas,7,14.29,-1.0112,-0.1445,-33.3726,-4.7675,40.9221,1,5,45.9996,2.24,5.5,0.36
ETH/USDT,AverageStrategy,12,8.33,-2.1541,-0.1795,-70.3761,-5.8647,83.8487,1,10,77.9863,2.59,10.83,0.08
ETH/USDT,AwesomeMacd,3,0.0,-0.9702,-0.3234,-31.8498,-10.6166,31.8498,0,3,19.6656,0.95,1.42,0.5
ETH/USDT,Bandtastic,9,55.56,-0.0447,-0.005,-1.9651,-0.2183,48.4423,3,3,59.286,3.53,10.0,0.5
ETH/USDT,BbandRsi,3,33.33,-0.1602,-0.0534,-5.3262,-1.7754,18.2002,1,2,19.8929,10.89,16.08,7.01
ETH/USDT,BinHV27,3,66.67,-0.4126,-0.1375,-13.7856,-4.5952,31.9737,2,1,19.8413,5.23,11.25,1.44
ETH/USDT,CMCWinner,3,100.0,0.2086,0.0695,6.8626,2.2875,0,3,0,19.8,6.88,13.13,0.89
ETH/USDT,CofiBitStrategy,9,11.11,-0.9991,-0.111,-32.9075,-3.6564,32.9075,1,5,59.1447,0.49,1.02,0.17
ETH/USDT,Diamond,8,100.0,3.5687,0.4461,118.2897,14.7862,0,8,0,53.2918,9.73,31.21,1.1
ETH/USDT,EMASkipPump,4,25.0,-0.7084,-0.1771,-23.748,-5.937,52.3514,1,3,26.3256,5.67,9.83,2.03
ETH/USDT,FOttStrategy,2,100.0,5.1459,2.5729,172.1053,86.0526,0,2,0,13.5515,36.45,40.33,32.57
ETH/USDT,FSupertrendStrategy,8,12.5,-2.5195,-0.3149,-81.5505,-10.1938,81.5505,1,5,52.0028,1.67,4.63,0.58
ETH/USDT,HourBasedStrategy,3,100.0,8.531,2.8437,286.838,95.6127,0,3,0,20.3068,33.96,40.6,30.63
ETH/USDT,InformativeSample,6,100.0,8.3041,1.384,281.3467,46.8911,0,6,0,40.7172,16.05,37.28,0.69
ETH/USDT,MACDStrategy,3,100.0,3.1472,1.0491,105.1662,35.0554,0,3,0,20.1539,21.58,26.94,18.24
ETH/USDT,MACDStrategy_crossed,1,100.0,1.0516,1.0516,34.7382,34.7382,0,1,0,6.6413,5.37,5.37,5.37
ETH/USDT,MultiMa,3,100.0,8.3566,2.7855,279.4121,93.1374,0,3,0,20.1777,7.33,9.01,5.26
ETH/USDT,MultiRSI,6,66.67,0.8589,0.1432,28.2763,4.7127,30.5989,4,1,39.8118,2.51,5.07,0.8
ETH/USDT,Quickie,2,100.0,2.1196,1.0598,70.3805,35.1903,0,2,0,13.3502,24.65,28.68,20.62
ETH/USDT,ReinforcedAverageStrategy,5,0.0,-1.4371,-0.2874,-46.73,-9.346,46.73,0,5,32.4861,2.29,6.18,0.79
